Package                   Version        Latest         Type
------------------------- -------------- -------------- -----
aiohappyeyeballs          2.4.3          2.4.4          wheel
aiohttp                   3.10.9         3.11.11        wheel
aiosignal                 1.3.1          1.3.2          wheel
anyio                     4.6.0          4.8.0          wheel
asttokens                 2.4.1          3.0.0          wheel
attrs                     23.2.0         24.3.0         wheel
bleach                    6.1.0          6.2.0          wheel
bokeh                     3.6.0          3.6.2          wheel
branca                    0.8.0          0.8.1          wheel
certifi                   2024.8.30      2024.12.14     wheel
charset-normalizer        3.3.2          3.4.1          wheel
chromadb                  0.5.23         0.6.3          wheel
click                     8.1.7          8.1.8          wheel
contourpy                 1.2.1          1.3.1          wheel
debugpy                   1.8.3          1.8.12         wheel
et-xmlfile                1.1.0          2.0.0          wheel
executing                 2.0.1          2.1.0          wheel
fastjsonschema            2.20.0         2.21.1         wheel
flatbuffers               24.3.25        24.12.23       wheel
folium                    0.17.0         0.19.4         wheel
fonttools                 4.53.1         4.55.3         wheel
frozenlist                1.4.1          1.5.0          wheel
gitdb                     4.0.11         4.0.12         wheel
GitPython                 3.1.43         3.1.44         wheel
grpcio                    1.68.1         1.69.0         wheel
httpcore                  1.0.6          1.0.7          wheel
httpx                     0.27.2         0.28.1         wheel
huggingface-hub           0.27.0         0.27.1         wheel
importlib_resources       6.4.5          6.5.2          wheel
ipython                   8.26.0         8.31.0         wheel
jedi                      0.19.1         0.19.2         wheel
Jinja2                    3.1.4          3.1.5          wheel
jiter                     0.6.1          0.8.2          wheel
json5                     0.9.25         0.10.0         wheel
jsonschema-specifications 2023.12.1      2024.10.1      wheel
jupyter_client            8.6.2          8.6.3          wheel
jupyter-events            0.10.0         0.11.0         wheel
jupyter_server            2.14.2         2.15.0         wheel
jupyterlab                4.2.5          4.3.4          wheel
kiwisolver                1.4.5          1.4.8          wheel
langchain                 0.3.13         0.3.14         wheel
langchain-community       0.3.13         0.3.14         wheel
langchain-core            0.3.28         0.3.30         wheel
langchain-openai          0.2.14         0.3.0          wheel
langchain-text-splitters  0.3.4          0.3.5          wheel
langsmith                 0.2.4          0.2.11         wheel
marshmallow               3.23.2         3.25.1         wheel
matplotlib                3.9.2          3.10.0         wheel
mistune                   3.0.2          3.1.0          wheel
nbclient                  0.10.0         0.10.2         wheel
nbconvert                 7.16.4         7.16.5         wheel
notebook                  7.2.2          7.3.2          wheel
numpy                     2.1.2          2.2.1          wheel
orjson                    3.10.12        3.10.14        wheel
packaging                 24.1           24.2           wheel
patsy                     0.5.6          1.0.1          wheel
pillow                    10.4.0         11.1.0         wheel
platformdirs              4.2.2          4.3.6          wheel
posthog                   3.7.4          3.8.3          wheel
prometheus_client         0.21.0         0.21.1         wheel
prompt_toolkit            3.0.47         3.0.48         wheel
propcache                 0.2.0          0.2.1          wheel
protobuf                  5.29.2         5.29.3         wheel
psutil                    6.0.0          6.1.1          wheel
pydantic                  2.9.2          2.10.5         wheel
pydantic_core             2.23.4         2.27.2         wheel
pydantic-settings         2.7.0          2.7.1          wheel
Pygments                  2.18.0         2.19.1         wheel
pyparsing                 3.1.2          3.2.1          wheel
python-json-logger        2.0.7          3.2.1          wheel
pytz                      2024.1         2024.2         wheel
pywin32                   306            308            wheel
pyzmq                     26.0.3         26.2.0         wheel
referencing               0.35.1         0.36.1         wheel
rpds-py                   0.19.1         0.22.3         wheel
safetensors               0.4.5          0.5.2          wheel
scikit-learn              1.5.2          1.6.1          wheel
scipy                     1.14.0         1.15.1         wheel
setuptools                75.2.0         75.8.0         wheel
six                       1.16.0         1.17.0         wheel
smmap                     5.0.1          5.0.2          wheel
SQLAlchemy                2.0.36         2.0.37         wheel
starlette                 0.41.3         0.45.2         wheel
statsmodels               0.14.2         0.14.4         wheel
sympy                     1.13.1         1.13.3         wheel
tinycss2                  1.3.0          1.4.0          wheel
tornado                   6.4.1          6.4.2          wheel
tqdm                      4.66.5         4.67.1         wheel
transformers              4.47.1         4.48.0         wheel
types-python-dateutil     2.9.0.20241003 2.9.0.20241206 wheel
tzdata                    2024.1         2024.2         wheel
urllib3                   2.2.3          2.3.0          wheel
watchfiles                1.0.3          1.0.4          wheel
webcolors                 24.8.0         24.11.1        wheel
wrapt                     1.17.0         1.17.2         wheel
yarl                      1.14.0         1.18.3         wheel
